PlayerID,Rank,Damage
69646,#329,"35,629,366,408"
82533,#330,"35,200,723,830"
89058,#331,"35,105,673,244"
79955,#332,"34,749,204,804"
78672,#333,"34,575,926,279"
77075,#334,"34,524,433,840"
29195,#335,"34,235,121,092"
51907,#336,"34,192,906,162"
92992,#337,"34,173,860,258"
56485,#338,"34,084,843,562"
93061,#339,"34,017,374,495"
70888,#340,"33,848,931,169"
91504,#341,"33,705,855,103"
82114,#342,"33,481,659,384"
43272,#343,"33,337,888,886"
75993,#344,"33,286,161,248"
105815,#345,"33,286,103,436"
108677,#346,"33,184,562,234"
62520,#347,"33,174,353,484"
40240,#348,"33,062,473,789"
14115,#349,"33,011,850,230"
81562,#350,"32,995,545,495"
102349,#351,"32,912,512,629"
81387,#352,"32,858,407,588"
82695,#353,"32,769,768,458"
59584,#354,"32,719,704,336"
89770,#355,"32,569,494,416"
17656,#356,"32,446,030,111"
77362,#357,"31,999,617,407"
78141,#358,"31,954,865,820"
42570,#359,"31,897,901,353"
102460,#360,"31,810,727,103"
102610,#361,"31,722,433,312"
61454,#362,"31,694,643,062"
46757,#363,"31,673,592,924"
92092,#364,"31,491,810,059"
25854,#365,"31,488,624,905"
48852,#366,"31,468,992,560"
93552,#367,"30,975,891,690"
98011,#368,"30,560,877,410"
35286,#369,"30,417,010,531"
15251,#370,"30,235,707,529"
79160,#371,"30,156,769,651"
93209,#372,"30,069,276,876"
64683,#373,"29,656,957,656"
94706,#374,"29,644,055,665"
46958,#375,"29,373,444,106"
45737,#376,"29,371,944,369"
91783,#377,"29,110,364,364"
116948,#378,"29,035,014,583"
88723,#379,"28,814,205,579"
17595,#380,"28,746,567,878"
94890,#381,"28,744,026,557"
65786,#382,"28,725,113,304"
100567,#383,"28,400,291,352"
55341,#384,"28,231,408,530"
40838,#385,"28,137,482,035"
107484,#386,"28,015,854,082"
77663,#387,"27,874,515,522"
76638,#388,"27,762,603,667"
101683,#389,"27,752,137,740"
81339,#390,"27,741,804,768"
82406,#391,"27,668,123,598"
26133,#392,"27,655,190,978"
78347,#393,"27,610,455,813"
79169,#394,"27,572,648,143"
96205,#395,"27,412,517,155"
52878,#396,"27,367,872,477"
49615,#397,"27,343,914,250"
98812,#398,"27,323,161,387"
78916,#399,"27,192,437,689"
62814,#400,"27,177,384,679"
63970,#401,"27,100,550,778"
109625,#402,"27,092,452,886"
16423,#403,"27,078,712,325"
77145,#404,"27,060,820,393"
91304,#405,"27,057,862,920"
31872,#406,"27,028,143,647"
108501,#407,"26,687,942,836"
